id,Station,Divisions,x,y,Lat,Long
20441,Abbeyfeale, Limerick Division,112219.0,126928.0,52.3873013582901,-9.290020847864904
20117,Abbeyleix, Laois/Offaly Division,244196.0,184819.0,52.91273292854547,-7.34378352305373
20424,Adare, Limerick Division,146337.0,146092.0,52.56390329138766,-8.792062355964722
20217,Aglish, Waterford Division,212252.0,91029.0,52.0715882449584,-7.822050666710436
20522,Ahascragh, Galway Division,178054.0,238416.0,53.39567459330229,-8.330633255636883
20700,Ailt an Chorrain, Donegal Division,171966.0,415356.0,54.98492092997602,-8.438645045972754
20649,An Bun Beag, Donegal Division,181554.0,424284.0,55.06556277304342,-8.289459009170677
20653,An Charraig, Donegal Division,159189.0,379044.0,54.657875797978605,-8.633091766709533
20500,An Cheathru Rua, Galway Division,93255.0,224962.0,53.26451052786652,-9.600485420053143
20652,An Clochan Liath, Donegal Division,176900.0,411614.0,54.951562118814216,-8.361276015161614
20393,An Coirean, Kerry Division,50174.0,66489.0,51.83109038134758,-10.174172312126043
20642,An Craoslach, Donegal Division,205627.0,430898.0,55.125283638764344,-7.912551358185865
20643,An Fál Carrach, Donegal Division,193541.0,432201.01,55.13697693180667,-8.102026221975526
20488,An Maim, Galway Division,96228.0,252310.0,53.51072859848197,-9.564930534823167
20218,An Rinn, Waterford Division,227969.0,88510.0,52.04838105303443,-7.593052813451125
20503,An Spideal, Galway Division,112890.0,222439.0,53.24543219220744,-9.305625733112558
20288,Anglesea Street, Cork City Division,168040.0,71558.0,51.89581891439854,-8.464993744273308
20383,Annascaul, Kerry Division,59567.0,101995.0,52.15241992757186,-10.052541767024445
20476,Aran Mor, Galway Division,137877.0,225014.0,53.27207603753367,-8.93189336462273
20648,Ard An Rátha, Donegal Division,173689.0,390810.0,54.764531353751934,-8.409493280112391
2079,Ardee, Louth Division,296047.0,290467.0,53.85491462839025,-6.541144051785832
20378,Ardfert, Kerry Division,78762.0,120534.0,52.32348875258219,-9.778893949144917
20259,Ardfinnan, Tipperary Division,208349.0,117754.0,52.311830977195214,-7.878313686618339
20334,Ardmore, Waterford Division,218736.0,77633.0,51.951018397922255,-7.7282238181527845
20414,Ardnacrusha, Limerick Division,158606.0,161975.0,52.70769227667266,-8.61314353811537
20508,Ardrahan, Galway Division,146101.0,212066.0,53.15664649635941,-8.806452293827851
20183,Arklow, Wicklow Division,324524.0,173255.0,52.79628148542463,-6.1546218123377265
20122,Arles, Laois/Offaly Division,266084.0,182647.0,52.89097565494816,-7.018914481825755
20677,Arva, Cavan/Monaghan Division,227394.0,297403.0,53.92537824487628,-7.583755601119815
2077,Ashbourne, Meath Division,306394.0,252439.0,53.511373123791806,-6.39699718145525
20200,Ashford, Wicklow Division,327080.0,197557.01,53.01393717008455,-6.107257359909776
20423,Askeaton, Limerick Division,134243.7,150327.68,52.60063380554453,-8.971209153403912
20444,Athea, Limerick Division,112536.0,135006.0,52.45992584496527,-9.287478260656396
20480,Athenry, Galway Division,150065.0,227951.0,53.29974998550051,-8.749689110100304
20515,Athleague, Roscommon/Longford Division,183329.0,257652.0,53.56869721606737,-8.252361662815376
2089,Athlone, Westmeath Division,203723.0,241436.0,53.42325270434138,-7.944737175980632
20160,Athy, Kildare Division,267993.0,193718.0,52.990202104394456,-6.98823837664144
20205,Aughrim, Wicklow Division,312754.0,179619.0,52.85602776912899,-6.326835352681524
20203,Avoca, Wicklow Division,320421.0,180111.0,52.85878829574167,-6.212891209266205
